ds,y
2/01/2009,0.03955
5/01/2009,0.04255
6/01/2009,0.04295
7/01/2009,0.0425
8/01/2009,0.0414
9/01/2009,0.0412
12/01/2009,0.04095
13/01/2009,0.03955
14/01/2009,0.0399
15/01/2009,0.0386
16/01/2009,0.03975
19/01/2009,0.0405
20/01/2009,0.03995
21/01/2009,0.0408
22/01/2009,0.04185
23/01/2009,0.041
27/01/2009,0.0419
28/01/2009,0.04055
29/01/2009,0.0407
30/01/2009,0.041
2/02/2009,0.04095
3/02/2009,0.04215
4/02/2009,0.04305
5/02/2009,0.0437
6/02/2009,0.0444
9/02/2009,0.0435
10/02/2009,0.04335
11/02/2009,0.0425
12/02/2009,0.04185
13/02/2009,0.04235
16/02/2009,0.0438
17/02/2009,0.0426
18/02/2009,0.04075
19/02/2009,0.0422
20/02/2009,0.0416
23/02/2009,0.0415
24/02/2009,0.0412
25/02/2009,0.04265
26/02/2009,0.0425
27/02/2009,0.044
2/03/2009,0.04305
3/03/2009,0.04305
4/03/2009,0.0435
5/03/2009,0.04405
6/03/2009,0.0424
9/03/2009,0.0412
10/03/2009,0.04255
11/03/2009,0.0433
12/03/2009,0.0427
13/03/2009,0.0428
16/03/2009,0.04305
17/03/2009,0.0435
18/03/2009,0.04365
19/03/2009,0.04095
20/03/2009,0.04165
23/03/2009,0.043
24/03/2009,0.04365
25/03/2009,0.04455
26/03/2009,0.04515
27/03/2009,0.04565
30/03/2009,0.0446
31/03/2009,0.0441
1/04/2009,0.0439
2/04/2009,0.0437
3/04/2009,0.04425
6/04/2009,0.0461
7/04/2009,0.04605
8/04/2009,0.04535
9/04/2009,0.04585
14/04/2009,0.04635
15/04/2009,0.04575
16/04/2009,0.0451
17/04/2009,0.04515
20/04/2009,0.046
21/04/2009,0.0437
22/04/2009,0.0446
23/04/2009,0.0449
24/04/2009,0.0451
27/04/2009,0.0447
28/04/2009,0.0444
29/04/2009,0.04575
30/04/2009,0.0457
1/05/2009,0.0468
4/05/2009,0.04695
5/05/2009,0.04815
